from,to,weight
Node_1,Node_22,33
Node_1,Node_24,12
Node_1,Node_25,14
Node_2,Node_3,8
Node_3,Node_4,6
Node_4,Node_23,16
Node_5,Node_6,4
Node_5,Node_9,4
Node_6,Node_9,5
Node_7,Node_12,13
Node_8,Node_19,15
Node_8,Node_20,5
Node_8,Node_27,19
Node_8,Node_54,69
Node_9,Node_22,48
Node_9,Node_25,26
Node_10,Node_25,204
Node_10,Node_36,5
Node_10,Node_39,10
Node_10,Node_41,24
Node_10,Node_43,35
Node_10,Node_45,45
Node_10,Node_47,50
Node_10,Node_49,78
Node_10,Node_51,84
Node_10,Node_53,116
Node_10,Node_54,143
Node_11,Node_12,9
Node_11,Node_14,21
Node_11,Node_16,23
Node_11,Node_18,41
Node_11,Node_20,51
Node_12,Node_14,12
Node_12,Node_16,14
Node_12,Node_18,32
Node_12,Node_20,42
Node_13,Node_14,7
Node_13,Node_15,17
Node_13,Node_16,7
Node_14,Node_15,10
Node_14,Node_16,2
Node_14,Node_18,20
Node_14,Node_20,30
Node_15,Node_16,10
Node_16,Node_18,18
Node_16,Node_20,28
Node_17,Node_18,10
Node_18,Node_20,10
Node_18,Node_27,29
Node_19,Node_20,10
Node_20,Node_27,19
Node_21,Node_22,33
Node_21,Node_25,40
Node_22,Node_24,44
Node_22,Node_25,22
Node_23,Node_52,27
Node_23,Node_53,11
Node_25,Node_36,199
Node_25,Node_39,194
Node_25,Node_41,180
Node_25,Node_43,169
Node_25,Node_45,159
Node_25,Node_47,154
Node_25,Node_49,126
Node_25,Node_51,120
Node_25,Node_53,88
Node_25,Node_54,61
Node_26,Node_28,7
Node_26,Node_29,39
Node_26,Node_54,79
Node_27,Node_29,34
Node_28,Node_29,32
Node_28,Node_54,72
Node_29,Node_54,41
Node_29,Node_55,69
Node_30,Node_31,7
Node_31,Node_33,22
Node_31,Node_34,30
Node_32,Node_33,15
Node_33,Node_34,8
Node_34,Node_40,75
Node_34,Node_41,66
Node_35,Node_36,12
Node_36,Node_39,5
Node_36,Node_41,19
Node_36,Node_43,30
Node_36,Node_45,40
Node_36,Node_47,45
Node_36,Node_49,73
Node_36,Node_51,79
Node_36,Node_53,111
Node_36,Node_54,138
Node_37,Node_38,11
Node_38,Node_39,11
Node_39,Node_41,14
Node_39,Node_43,25
Node_39,Node_45,35
Node_39,Node_47,40
Node_39,Node_49,68
Node_39,Node_51,74
Node_39,Node_53,106
Node_39,Node_54,133
Node_40,Node_41,9
Node_41,Node_43,11
Node_41,Node_45,21
Node_41,Node_47,26
Node_41,Node_49,54
Node_41,Node_51,60
Node_41,Node_53,92
Node_41,Node_54,119
Node_42,Node_43,9
Node_43,Node_45,10
Node_43,Node_47,15
Node_43,Node_49,43
Node_43,Node_51,49
Node_43,Node_53,81
Node_43,Node_54,108
Node_44,Node_45,12
Node_45,Node_47,5
Node_45,Node_49,33
Node_45,Node_51,39
Node_45,Node_53,71
Node_45,Node_54,98
Node_46,Node_47,9
Node_47,Node_49,28
Node_47,Node_51,34
Node_47,Node_53,66
Node_47,Node_54,93
Node_48,Node_49,9
Node_48,Node_50,19
Node_48,Node_51,10
Node_49,Node_51,6
Node_49,Node_53,38
Node_49,Node_54,65
Node_50,Node_51,10
Node_51,Node_53,32
Node_51,Node_54,59
Node_52,Node_53,16
Node_53,Node_54,27
Node_54,Node_55,28
Node_1,Node_145,50
Node_30,Node_163,50
Node_8,Node_102,50
Node_56,Node_57,18
Node_56,Node_58,10
Node_57,Node_58,8
Node_58,Node_166,15
Node_58,Node_167,14
Node_59,Node_60,9
Node_59,Node_62,9
Node_59,Node_76,43
Node_59,Node_95,48
Node_59,Node_96,26
Node_59,Node_104,27
Node_59,Node_105,33
Node_61,Node_62,9
Node_62,Node_76,52
Node_62,Node_95,39
Node_62,Node_96,17
Node_62,Node_104,36
Node_62,Node_105,42
Node_63,Node_64,21
Node_63,Node_75,22
Node_63,Node_80,93
Node_63,Node_81,84
Node_63,Node_104,13
Node_63,Node_105,12
Node_63,Node_107,26
Node_63,Node_109,35
Node_63,Node_111,51
Node_63,Node_156,75
Node_65,Node_66,20
Node_66,Node_67,12
Node_67,Node_69,41
Node_67,Node_70,51
Node_68,Node_69,8
Node_69,Node_70,10
Node_70,Node_85,11
Node_71,Node_72,8
Node_71,Node_153,19
Node_72,Node_147,35
Node_72,Node_148,26
Node_72,Node_150,14
Node_72,Node_152,11
Node_72,Node_154,7
Node_72,Node_155,16
Node_72,Node_161,41
Node_73,Node_74,4
Node_74,Node_145,5
Node_75,Node_80,115
Node_75,Node_81,106
Node_75,Node_94,75
Node_75,Node_104,10
Node_75,Node_107,48
Node_75,Node_109,57
Node_75,Node_111,73
Node_75,Node_156,97
Node_76,Node_95,91
Node_76,Node_96,69
Node_76,Node_104,16
Node_76,Node_105,10
Node_77,Node_106,20
Node_77,Node_108,18
Node_77,Node_109,10
Node_78,Node_117,77
Node_78,Node_120,62
Node_78,Node_123,46
Node_78,Node_124,37
Node_78,Node_156,10
Node_79,Node_80,10
Node_79,Node_120,62
Node_79,Node_123,46
Node_79,Node_124,37
Node_80,Node_81,9
Node_80,Node_104,105
Node_80,Node_105,105
Node_80,Node_107,67
Node_80,Node_109,58
Node_80,Node_111,42
Node_80,Node_120,52
Node_80,Node_123,37
Node_80,Node_124,27
Node_80,Node_156,18
Node_81,Node_82,107
Node_81,Node_83,97
Node_81,Node_92,97
Node_81,Node_104,96
Node_81,Node_105,96
Node_81,Node_107,58
Node_81,Node_109,49
Node_81,Node_111,33
Node_81,Node_114,83
