id,x,y,floor
Node_1,1595,1645,1
Node_2,2655,1575,1
Node_3,2735,1575,1
Node_4,2735,1635,1
Node_5,1655,1485,1
Node_6,1655,1525,1
Node_7,2835,725,1
Node_8,2655,1145,1
Node_9,1695,1485,1
Node_10,3735,1775,1
Node_11,2705,635,1
Node_12,2705,725,1
Node_13,2635,845,1
Node_14,2705,845,1
Node_15,2805,865,1
Node_16,2705,865,1
Node_17,2805,1045,1
Node_18,2705,1045,1
Node_19,2805,1145,1
Node_20,2705,1145,1
Node_21,1355,1965,1
Node_22,1685,1965,1
Node_23,2575,1635,1
Node_24,1595,1525,1
Node_25,1695,1745,1
Node_26,2225,955,1
Node_27,2655,1335,1
Node_28,2225,1025,1
Node_29,2315,1335,1
Node_30,3795,1015,1
Node_31,3795,1085,1
Node_32,3575,935,1
Node_33,3575,1085,1
Node_34,3495,1085,1
Node_35,3685,1625,1
Node_36,3685,1745,1
Node_37,3745,1855,1
Node_38,3635,1855,1
Node_39,3635,1745,1
Node_40,3495,1835,1
Node_41,3495,1745,1
Node_42,3385,1835,1
Node_43,3385,1745,1
Node_44,3285,1625,1
Node_45,3285,1745,1
Node_46,3235,1835,1
Node_47,3235,1745,1
Node_48,2955,1835,1
Node_49,2955,1745,1
Node_50,2895,1645,1
Node_51,2895,1745,1
Node_52,2575,1905,1
Node_53,2575,1745,1
Node_54,2305,1745,1
Node_55,2305,2025,1
Node_56,3395,1225,2
Node_57,3575,1225,2
Node_58,3495,1225,2
Node_59,415,1415,2
Node_60,505,1415,2
Node_61,505,1325,2
Node_62,415,1325,2
Node_63,535,1745,2
Node_64,535,1535,2
Node_65,405,575,2
Node_66,605,575,2
Node_67,605,695,2
Node_68,1015,615,2
Node_69,1015,695,2
Node_70,1115,695,2
Node_71,2625,985,2
Node_72,2705,985,2
Node_73,1645,1525,2
Node_74,1645,1485,2
Node_75,315,1685,2
Node_76,415,1845,2
Node_77,885,1845,2
Node_78,1285,1845,2
Node_79,1465,1845,2
Node_80,1465,1745,2
Node_81,1375,1745,2
Node_82,1355,675,2
Node_83,1355,775,2
Node_84,1195,595,2
Node_85,1195,775,2
Node_86,1645,625,2
Node_87,1585,625,2
Node_88,1665,775,2
Node_89,1585,775,2
Node_90,1525,565,2
Node_91,1525,775,2
Node_92,1375,775,2
Node_93,515,1155,2
Node_94,315,935,2
Node_95,415,935,2
Node_96,415,1155,2
Node_97,2805,1395,2
Node_98,2115,945,2
Node_99,2115,1055,2
Node_100,2375,955,2
Node_101,2375,1055,2
Node_102,2225,1145,2
Node_103,2795,725,2
Node_104,415,1685,2
Node_105,415,1745,2
Node_106,795,1665,2
Node_107,795,1745,2
Node_108,885,1665,2
Node_109,885,1745,2
Node_110,1045,1665,2
Node_111,1045,1745,2
Node_112,1275,915,2
Node_113,1465,915,2
Node_114,1375,915,2
Node_115,1275,1075,2
Node_116,1465,1075,2
Node_117,1375,1075,2
Node_118,1275,1225,2
Node_119,1465,1225,2
Node_120,1375,1225,2
Node_121,1275,1385,2
Node_122,1465,1385,2
Node_123,1375,1385,2
Node_124,1375,1485,2
Node_125,1585,1485,2
Node_126,1845,1745,2
Node_127,1845,1845,2
Node_128,1885,1635,2
Node_129,1885,1745,2
Node_130,2165,1635,2
Node_131,2165,1745,2
Node_132,2045,1745,2
Node_133,2045,1845,2
Node_134,4275,1675,2
Node_135,4035,1575,2
Node_136,4035,1675,2
Node_137,4005,1845,2
Node_138,3995,1745,2
Node_139,3045,1635,2
Node_140,3045,1745,2
Node_141,2725,1745,2
Node_142,2725,1845,2
Node_143,2835,725,2
Node_144,2665,1145,2
Node_145,1695,1485,2
Node_146,3575,1635,2
Node_147,2705,635,2
Node_148,2705,725,2
Node_149,2605,845,2
Node_150,2705,845,2
Node_151,2825,875,2
Node_152,2705,875,2
Node_153,2805,1055,2
Node_154,2705,1055,2
Node_155,2705,1145,2
Node_156,1285,1745,2
Node_157,1585,1745,2
Node_158,2575,1635,2
Node_159,1695,1745,2
Node_160,2225,945,2
Node_161,2705,1395,2
Node_162,2225,1055,2
Node_163,3795,1015,2
Node_164,3795,1085,2
Node_165,3565,935,2
Node_166,3565,1085,2
Node_167,3495,1085,2
Node_168,3755,1635,2
Node_169,3755,1745,2
Node_170,3715,1845,2
Node_171,3575,1845,2
Node_172,3575,1745,2
Node_173,3425,1845,2
Node_174,3425,1745,2
Node_175,3295,1845,2
Node_176,3295,1745,2
Node_177,3175,1635,2
Node_178,3175,1745,2
Node_179,3155,1845,2
Node_180,3155,1745,2
Node_181,2995,1845,2
Node_182,2995,1745,2
Node_183,2875,1635,2
Node_184,2875,1745,2
Node_185,2575,1845,2
Node_186,2575,1745,2
Node_187,2305,1745,2
Node_188,2305,1845,2


