from,to,weight
enter,centre_corr,6
centre_corr,to_main_ladder_1,11
to_main_ladder_1,main_ladder_1,2
to_main_ladder_1,lift,4
to_main_ladder_1,to_tk,4
to_tk,tk,5
centre_corr,centre_mramor_1,9
centre_mramor_1,to_150,7
to_150,room_150,1
centre_mramor_1,corr_marmor_1,5
corr_marmor_1,to_155,4
to_155,room_155,1
to_155,ladder_mramor_1,1
to_155,to_154,3
to_154,room_154,1
to_154,to_153,3
to_153,room_153,1
to_153,to_151,3
to_151,room_151,1
to_151,to_152,3
to_152,room_152,1
to_152,ladder_mramor_dop_1,2
centre_corr,to_100,5
to_100,room_100,4
to_100,ladder_under,3
to_100,to_102,6
to_102,room_102,1
to_102,to_101,1
to_101,room_101,1
to_101,to_107,5
to_107,room_107,1
to_107,to_104,1
to_104,room_104,1
to_104,to_103,1
to_103,room_103,1
to_103,too_105_and_centre,1
too_105_and_centre,room_105,1
too_105_and_centre,to_109,2
to_109,room_109,1
room_109,room_110,1
to_109,to_108,1
to_108,room_108,1
to_108,toilet_1,1
too_105_and_centre,corr_sport_1,11
corr_sport_1,to_spotr_1,1
to_spotr_1,room_sport_1,2
to_spotr_1,to_ladder_sport_1,3
to_ladder_sport_1,ladder_sport_1,1
